DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0.0090022, 0, 50, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 25, 0.194194, 379, 78348, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 33, 0.0327415, 38, 59277, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 41, 0.0639905, 53, 60054, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0010308, 2, 58063, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0029692, 9, 57445, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.0210005, 24, 57972, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 54, 0.0439867, 29, 58615, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 72, 0.1137425, 46, 59460, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 90, 0.2608647, 71, 60649, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0019927, 6, 57567, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.0225834, 26, 58695, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 76, 0.1288631, 53, 59792, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 114, 0.4455774, 90, 61944, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 152, 1.5297262, 166, 66149, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 190, 2.419303, 166, 65938, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 100, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0009985, 2, 246, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.0060011, 6, 766, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.0249997, 57, 6039, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 12.5, 0.0340007, 66, 6428, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0120012, 56, 9585, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.103746, 267, 72233, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0039977, 2, 56918, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 16, 0, 1, 56993, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 20, 0.0087756, 6, 57153, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0.0010236, 0, 57401, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0, 0, 56739, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0.0010064, 0, 56908, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0.0010238, 0, 56765, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0.0009982, 0, 56850, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0, 0, 57125, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0, 0, 56787, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0, 0, 57225, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.0179952, 5, 57083, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.0772688, 21, 57816, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0009917, 4, 303, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0171118, 48, 2800, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.0378798, 99, 5617, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.0366961, 68, 3895, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.0010049, 6, 347, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0486717, 130, 7352, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 29, 0.2553622, 429, 24529, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.4229195, 524, 29776, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 47, 0.7493551, 678, 38459, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0020089, 8, 437, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0089998, 22, 1283, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.0641427, 67, 3825, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 54, 0.093841, 63, 3499, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 72, 0.2731108, 109, 6117, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 90, 0.7461599, 212, 12028, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0059969, 19, 1113, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.0405781, 53, 2971, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 76, 0.1928694, 80, 4552, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 114, 2.9774977, 605, 34461, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 152, 2.1160794, 232, 13242, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 190, 9.4530186, 678, 38616, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0009457, 1, 78, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.009009, 15, 867, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.0020023, 3, 194, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 12.5, 0.0207772, 45, 2627, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0050025, 34, 1956, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.1088842, 314, 17863, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0.0010003, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0059965, 5, 297, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 20, 0.0069994, 4, 245, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0.001482, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0.0010063, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0.0009999, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0.001002, 1, 108, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0009153, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0.0009998, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0.0110478, 5, 337, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.0209973, 7, 446, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.0269879, 6, 341, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0, 0, 100, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0, 0, 100, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0019925, 5, 628, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0246709, 69, 6845, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.0365765, 95, 11060, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.1152975, 208, 15678, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 100, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0, 1, 455, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 17, 0.0070176, 18, 57961, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 27, 0.3975604, 669, 94999, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 32, 0.0350037, 43, 59290, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 40, 0.0458075, 41, 59122, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0009456, 4, 57919, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0029821, 9, 57527, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.0239482, 25, 58142, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 54, 0.0549907, 36, 58780, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 72, 0.1684961, 66, 60612, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 90, 0.2994201, 82, 61403, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0050022, 14, 58042, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.0210001, 20, 58101, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 76, 0.1404649, 59, 60173, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 114, 0.4556622, 90, 62082, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 152, 0.9050897, 98, 62566, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 190, 2.0455605, 142, 64784, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 100, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0019993, 4, 317, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.006628, 13, 1674, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.0080002, 20, 1389, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 12.5, 0.0651938, 136, 10455, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0150447, 56, 5301, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.136288, 402, 79917, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0330012, 59, 60656, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.3509632, 422, 81157, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 20, 0.0119995, 9, 57386, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0, 0, 57090, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0, 0, 56842, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0.0010002, 0, 56917, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0.0009859, 0, 56769, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0.0019997, 1, 56919, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0, 0, 56950, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0.0009868, 0, 56986, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0.0069587, 3, 56960, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.017, 4, 56991, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.1155386, 28, 58365, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0.0079834, 0, 50, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0119064, 10, 592, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0090004, 17, 960, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.0990352, 141, 8006, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.1009655, 168, 9687, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.0220224, 131, 7498, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 20, 0.1419916, 439, 25196, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 29, 0.061986, 104, 5880, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 37, 0.8165839, 859, 48871, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 46, 0.0912047, 83, 4796, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0019919, 7, 390, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0059995, 14, 819, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.0261089, 37, 2101, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 54, 0.0731354, 47, 2706, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 72, 0.2665521, 98, 5661, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 90, 0.617989, 161, 9210, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0059989, 15, 908, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.0230331, 24, 1399, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 76, 0.6162368, 268, 15278, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 114, 1.2399733, 253, 14544, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 151, 2.1230906, 234, 13235, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 189, 4.7113663, 337, 19132, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0010003, 2, 162, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.0088806, 20, 1168, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.0040004, 14, 852, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 12.5, 0.0230893, 51, 2832, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0139518, 70, 4023, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.066867, 189, 10824, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.3299148, 604, 34497, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 16, 0.0009998, 1, 108, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 22, 0.6705709, 595, 33901, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0.0010021, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0.0070113, 2, 123, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.0140011, 3, 233, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.0470196, 10, 573, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0, 0, 100, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0, 0, 100, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0089973, 33, 2524, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0340017, 109, 7173, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.0330006, 76, 12371, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.024942, 43, 12172, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 100, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0111661, 70, 11586, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 17, 0.2943882, 849, 73400, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 24, 0.0079833, 14, 57594, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 33, 0.0277383, 32, 58662, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 40, 0.0600594, 54, 60000, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0009987, 4, 58002, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0049981, 14, 58202, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.0229987, 23, 58319, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 54, 0.1035146, 66, 60940, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 72, 0.1498964, 58, 60456, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 90, 0.2597985, 67, 60733, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.005999, 15, 58183, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.0160006, 15, 57732, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 76, 0.1167853, 49, 59911, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 114, 0.4552389, 92, 62066, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 152, 0.9807543, 104, 62635, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 190, 2.3820427, 170, 66211, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 100, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0010282, 4, 422, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.01025, 23, 2553, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.0269672, 80, 5402, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 12.5, 0.0189969, 37, 4913, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0247514, 138, 11912, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0770329, 221, 70149, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0030179, 2, 57188, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 16, 0.0020009, 2, 57318, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 20, 0.0109997, 9, 57464, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0, 0, 57451, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0.0010019, 0, 57364, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0, 0, 57027, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0.0010007, 0, 56768, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0.0080741, 2, 57196, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0, 0, 57639, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0, 0, 56909, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0, 0, 57120, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.0148633, 5, 57367, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.0789351, 22, 58174, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0.0060001, 0, 50, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0139966, 10, 592, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0090012, 17, 960, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.0679964, 141, 8006, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.0900001, 168, 9687, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.0240018, 131, 7498, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 20, 0.1489995, 439, 25196, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 29, 0.0620018, 104, 5880, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 37, 0.7620192, 859, 48871, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 46, 0.087998, 83, 4796, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0020004, 7, 390, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.003978, 14, 819, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.0259605, 37, 2101, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 54, 0.0659973, 47, 2706, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 72, 0.2169944, 98, 5661, 
