GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0.0078889, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 114, 0.1492176, 237, 13369, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 152, 0.3219501, 386, 22033, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 190, 0.6217867, 609, 34558, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0010108, 14, 812, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.0009657, 5, 323, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.0020015, 10, 571, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 12.5, 0.0080347, 41, 2312, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0129377, 121, 6981, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 8, 0, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0.0010385, 1, 111, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 16, 0.0009476, 4, 262, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 20, 0.0009338, 2, 168, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0.0009145, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0.0010003, 1, 106, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.001022, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0.0009997, 1, 112, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.0020002, 3, 211, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.003065, 5, 332, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0, 0, 100, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0, 1, 239, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0, 6, 1075, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0159991, 100, 7577, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.0210941, 109, 9611, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.0585175, 283, 27665, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 1, 1711, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0010026, 1, 23482, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 17, 0.1028949, 676, 95868, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 24, 0.0039782, 20, 57682, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 34, 0.0109668, 44, 59363, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 40, 0.0089593, 29, 58352, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0, 3, 57809, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0019569, 15, 57746, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.0079416, 31, 58402, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 54, 0.0210009, 61, 60301, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 72, 0.0260487, 57, 60222, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 90, 0.0370682, 67, 60565, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0020078, 18, 58398, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.0080288, 35, 58403, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 76, 0.0335887, 74, 60794, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 114, 0.0580191, 89, 61974, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 152, 0.134511, 160, 66109, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 190, 0.1641251, 157, 65512, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 100, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0010003, 5, 1177, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.0019995, 13, 1124, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.0080063, 54, 3709, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 12.5, 0.0409942, 235, 15638, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0019995, 19, 8173, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0223941, 150, 65755, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0391207, 201, 67698, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0310368, 123, 63702, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 20, 0.002, 4, 56846, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0, 0, 56878, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0.0009824, 0, 56603, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0.0009993, 0, 56721, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0, 0, 56933, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0.0009437, 2, 57338, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0, 0, 57200, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0, 0, 56584, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0.0010001, 1, 56557, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.0020083, 4, 56776, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.0050123, 8, 57306, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0.0009976, 3, 304, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0039175, 21, 1746, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0182826, 69, 5691, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.038064, 132, 10859, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.1327694, 385, 31477, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 1, 139, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 17, 0.015074, 67, 5495, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 24, 0.0080011, 25, 2027, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 32, 0.0555598, 133, 10866, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 40, 0.270682, 541, 44180, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0019999, 10, 835, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0039982, 15, 1252, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.0325718, 79, 6510, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 54, 0.1322178, 228, 18687, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 71, 0.58501, 791, 64652, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 88, 0.1380975, 153, 12522, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0079994, 31, 2558, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.0799368, 192, 15705, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 76, 0.5069981, 684, 55950, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 112, 0.3437149, 324, 26416, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 149, 0.4510117, 325, 26636, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 184, 0.9166206, 537, 43946, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.0461433, 175, 14359, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.2480836, 976, 80121, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 11, 0.0460071, 158, 12928, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0029999, 19, 1614, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0609686, 242, 19840, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 16, 0.0009999, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 20, 0.0040001, 7, 592, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0.0009989, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0.001975, 2, 215, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0009465, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0.0010145, 2, 184, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.0029991, 5, 424, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.0189893, 21, 1747, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0, 0, 100, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0, 3, 577, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0028899, 11, 2736, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0160465, 58, 10441, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.0740292, 241, 30597, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.2481122, 734, 91483, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 1, 278, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0, 0, 82542, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 17, 0.0319957, 131, 92863, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 25, 0.0135437, 38, 84743, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 33, 0.0971217, 230, 100453, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 41, 0.1060206, 214, 99335, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.1099669, 626, 134156, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0050019, 19, 83706, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.0560653, 136, 92746, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 54, 0.0360367, 63, 87018, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 72, 0.0606894, 81, 88459, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 90, 0.2268366, 246, 101918, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0069926, 29, 84519, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.0431472, 101, 89887, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 76, 0.1340397, 177, 96321, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 114, 0.1010402, 93, 89421, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 152, 0.2458991, 175, 95996, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 190, 0.7459637, 437, 117504, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 100, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0, 0, 100, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.0020613, 10, 15263, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 8.5, 0.0059218, 21, 81894, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 11, 0.0811595, 277, 104528, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.002, 13, 2726, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0099999, 41, 85464, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0, 0, 81657, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.3818969, 916, 156394, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.2593518, 517, 124001, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0, 0, 82258, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12.5, 0.1021561, 319, 107672, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0.0009634, 0, 81799, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0, 0, 81891, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0.0020013, 2, 82011, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0, 0, 82146, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0.0009627, 0, 81690, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0.0021745, 2, 82025, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.0070507, 10, 82655, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.0029992, 4, 82126, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0019927, 19, 1115, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0030002, 18, 1150, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.0210295, 113, 6506, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.0452551, 223, 12776, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.0169977, 165, 9641, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0600101, 379, 21377, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 28, 0.028032, 145, 8202, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 34, 0.1550666, 632, 35686, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 44, 0.2585858, 886, 50192, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0, 2, 127, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0029588, 20, 1151, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.0069986, 29, 1618, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 55, 0.1097791, 317, 18007, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 73, 0.1060008, 242, 13817, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 90, 0.0777889, 144, 8225, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0010288, 8, 517, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.0070152, 30, 1702, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 76, 0.0553558, 126, 7203, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 114, 0.1038252, 165, 9365, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 152, 0.270091, 333, 18672, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 190, 0.3954965, 382, 21930, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0, 1, 101, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.0009458, 4, 242, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.001963, 16, 973, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 12.5, 0.0100173, 56, 3183, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0360512, 356, 20580, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0620193, 433, 24556, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 14, 0.1459466, 745, 42123, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.002, 7, 434, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0020003, 7, 414, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0.0009995, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0.0010286, 1, 82, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0.0009513, 2, 125, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.001, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0, 1, 86, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.0020569, 5, 347, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.0050314, 8, 508, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0, 0, 100, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0, 0, 100, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0030007, 20, 2359, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0020018, 15, 2098, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.0570161, 305, 24009, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.0789606, 387, 34743, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 100, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0, 4, 9907, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 17, 0.0300108, 188, 67408, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 25, 0.0529388, 262, 71249, 
GeneticAlgorithm`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 32, 0.006037, 24, 57952, 
